timestamp,header,seq,stamp,secs,nsecs,frame_id,unit,voltage,reading
1613697788718989024,,253,,1613697788,717175960,'','',0.00439560459927,0.0
1613697788971344649,,254,,1613697788,968648910,'','',0.00879120919853,0.0
1613697789219265399,,255,,1613697789,216662883,'','',0.00659340666607,0.0
1613697789469349107,,256,,1613697789,466681003,'','',0.00483516510576,0.0
1613697789724449357,,257,,1613697789,720345973,'','',0.00835164822638,0.0
1613697789969289690,,258,,1613697789,967087984,'','',0.00615384615958,0.0
1613697790220153399,,259,,1613697790,217720031,'','',0.00527472514659,0.0
1613697790469335607,,260,,1613697790,466938972,'','',0.0140659352764,0.0
1613697790719291191,,261,,1613697790,717557907,'','',0.00307692307979,0.0
1613697790970108482,,262,,1613697790,967680931,'','',0.00659340666607,0.0
1613697791221327816,,263,,1613697791,218501091,'','',0.00791208818555,0.0
1613697791471031232,,264,,1613697791,468521118,'','',0.00659340666607,0.0
1613697791721186441,,265,,1613697791,718825101,'','',0.00659340666607,0.0
1613697791970607691,,266,,1613697791,968451976,'','',0.00791208818555,0.0
1613697792218707024,,267,,1613697792,216829061,'','',0.00747252767906,0.0
1613697792472794732,,268,,1613697792,470463037,'','',0.00659340666607,0.0
1613697792723785191,,269,,1613697792,716510057,'','',0.00703296763822,0.0
1613697792977309816,,270,,1613697792,975476980,'','',0.00835164822638,0.0
1613697793219334899,,271,,1613697793,216356992,'','',0.00615384615958,0.0
1613697793470753691,,272,,1613697793,468475103,'','',0.0109890112653,0.0
1613697793722955733,,273,,1613697793,719197034,'','',0.00659340666607,0.0
1613697793976590983,,274,,1613697793,974392890,'','',0.00615384615958,0.0
1613697794222302608,,275,,1613697794,219194889,'','',0.0101098902524,0.0
1613697794468803233,,276,,1613697794,466967105,'','',0.00791208818555,0.0
1613697794722333233,,277,,1613697794,719885110,'','',0.00571428565308,0.0
1613697794968689024,,278,,1613697794,967078924,'','',0.00659340666607,0.0
1613697795223375274,,279,,1613697795,219326972,'','',0.00703296763822,0.0
1613697795471249941,,280,,1613697795,467345952,'','',0.0101098902524,0.0
1613697795725047358,,281,,1613697795,722660064,'','',0.00659340666607,0.0
1613697795971690649,,282,,1613697795,967917919,'','',0.0184615384787,0.0
1613697796218362483,,283,,1613697796,216162919,'','',0.0,0.0
1613697796470042025,,284,,1613697796,467569112,'','',0.0118681322783,0.0
1613697796719929733,,285,,1613697796,718331098,'','',0.00703296763822,0.0
1613697796970495983,,286,,1613697796,966304063,'','',0.00659340666607,0.0
1613697797218987691,,287,,1613697797,217174053,'','',0.00659340666607,0.0
1613697797473526900,,288,,1613697797,471596956,'','',0.00791208818555,0.0
1613697797719335483,,289,,1613697797,717315912,'','',0.00703296763822,0.0
1613697797969352191,,290,,1613697797,967504024,'','',0.00527472514659,0.0
1613697798219502358,,291,,1613697798,217415094,'','',0.00835164822638,0.0
1613697798469251108,,292,,1613697798,467322111,'','',0.00791208818555,0.0
1613697798722421108,,293,,1613697798,720065116,'','',0.00791208818555,0.0
1613697798971716150,,294,,1613697798,969511985,'','',0.00835164822638,0.0
1613697799223507192,,295,,1613697799,219727993,'','',0.0140659352764,0.0
1613697799468293942,,296,,1613697799,466543912,'','',0.0026373625733,0.0
1613697799721277483,,297,,1613697799,718779087,'','',0.01274725236,0.0
1613697799970608317,,298,,1613697799,968513011,'','',0.00571428565308,0.0
1613697800221528442,,299,,1613697800,218990087,'','',0.00703296763822,0.0
1613697800472471317,,300,,1613697800,470576047,'','',0.00659340666607,0.0
1613697800720005317,,301,,1613697800,718003988,'','',0.00703296763822,0.0
1613697800969163067,,302,,1613697800,966438055,'','',0.00703296763822,0.0
1613697801220449358,,303,,1613697801,218492031,'','',0.00659340666607,0.0
1613697801471252233,,304,,1613697801,467823982,'','',0.019340660423,0.0
1613697801721760442,,305,,1613697801,718524932,'','',0.00879120919853,0.0
1613697801969169359,,306,,1613697801,966599941,'','',0.00615384615958,0.0
1613697802224565942,,307,,1613697802,218857049,'','',0.00835164822638,0.0
1613697802468252067,,308,,1613697802,466281890,'','',0.00395604409277,0.0
1613697802719786150,,309,,1613697802,716664075,'','',0.00659340666607,0.0
1613697802969291150,,310,,1613697802,966826915,'','',0.00791208818555,0.0
1613697803219525067,,311,,1613697803,217334985,'','',0.00571428565308,0.0
1613697803469607067,,312,,1613697803,467323064,'','',0.000879120954778,0.0
1613697803725125150,,313,,1613697803,719628095,'','',0.00703296763822,0.0
1613697803971111484,,314,,1613697803,966968059,'','',0.00923076923937,0.0
1613697804222073025,,315,,1613697804,220119953,'','',0.00791208818555,0.0
1613697804469150942,,316,,1613697804,467015981,'','',0.00923076923937,0.0
1613697804719802401,,317,,1613697804,717303037,'','',0.00571428565308,0.0
1613697804968029192,,318,,1613697804,966366052,'','',0.00747252767906,0.0
1613697805218639067,,319,,1613697805,216304063,'','',0.00659340666607,0.0
1613697805472625734,,320,,1613697805,470299959,'','',0.00747252767906,0.0
1613697805718365234,,321,,1613697805,716157913,'','',0.00835164822638,0.0
1613697805968689192,,322,,1613697805,967041969,'','',0.00703296763822,0.0
1613697806220998359,,323,,1613697806,216707944,'','',0.00395604409277,0.0
1613697806471514276,,324,,1613697806,469463109,'','',0.00483516510576,0.0
1613697806719879484,,325,,1613697806,717976093,'','',0.00747252767906,0.0
1613697806969844026,,326,,1613697806,967063903,'','',0.00747252767906,0.0
1613697807220054859,,327,,1613697807,216762065,'','',0.00967033021152,0.0
1613697807469355109,,328,,1613697807,467516899,'','',0.00615384615958,0.0
1613697807719246526,,329,,1613697807,717118024,'','',0.0158241763711,0.0
1613697807970171568,,330,,1613697807,966846942,'','',0.00615384615958,0.0
1613697808219513359,,331,,1613697808,217735052,'','',0.00879120919853,0.0
1613697808470831984,,332,,1613697808,467747926,'','',0.00615384615958,0.0
1613697808720989026,,333,,1613697808,717365026,'','',0.00703296763822,0.0
1613697808968558151,,334,,1613697808,966326951,'','',0.00659340666607,0.0
1613697809225607526,,335,,1613697809,217933893,'','',0.00659340666607,0.0
1613697809470033984,,336,,1613697809,467597007,'','',0.00659340666607,0.0
1613697809723537568,,337,,1613697809,721041917,'','',0.00967033021152,0.0
1613697809973308151,,338,,1613697809,967211961,'','',0.00483516510576,0.0
1613697810220597235,,339,,1613697810,218687057,'','',0.00659340666607,0.0
1613697810470697985,,340,,1613697810,468394041,'','',0.00703296763822,0.0
1613697810720108276,,341,,1613697810,718380928,'','',0.00659340666607,0.0
1613697810968510818,,342,,1613697810,966645002,'','',0.00747252767906,0.0
1613697811219250610,,343,,1613697811,217415094,'','',0.00835164822638,0.0
1613697811473167235,,344,,1613697811,469635009,'','',0.00615384615958,0.0
1613697811719635901,,345,,1613697811,717829942,'','',0.00703296763822,0.0
1613697811968592276,,346,,1613697811,966917037,'','',0.00747252767906,0.0
1613697812217980776,,347,,1613697812,216095924,'','',0.00527472514659,0.0
1613697812469969651,,348,,1613697812,468141078,'','',0.00659340666607,0.0
1613697812719809985,,349,,1613697812,717906951,'','',0.00659340666607,0.0
1613697812968171402,,350,,1613697812,966213941,'','',0.00747252767906,0.0
1613697813219295527,,351,,1613697813,217413902,'','',0.00879120919853,0.0
1613697813471538193,,352,,1613697813,466474056,'','',0.00747252767906,0.0
1613697813718718443,,353,,1613697813,716265916,'','',0.00835164822638,0.0
1613697813970284860,,354,,1613697813,968082904,'','',0.00747252767906,0.0
1613697814220746193,,355,,1613697814,219111919,'','',0.00659340666607,0.0
1613697814470743360,,356,,1613697814,467902898,'','',0.00703296763822,0.0
1613697814721666568,,357,,1613697814,718051910,'','',0.00703296763822,0.0
1613697814972245277,,358,,1613697814,969821929,'','',0.00835164822638,0.0
1613697815224426235,,359,,1613697815,218163013,'','',0.00659340666607,0.0
1613697815470426318,,360,,1613697815,467989921,'','',0.00659340666607,0.0
1613697815718713652,,361,,1613697815,716200113,'','',0.00747252767906,0.0
1613697815969932444,,362,,1613697815,966514110,'','',0.00923076923937,0.0
1613697816218173819,,363,,1613697816,216207027,'','',0.00659340666607,0.0
1613697816470768735,,364,,1613697816,467668056,'','',0.00703296763822,0.0
1613697816718406652,,365,,1613697816,716547966,'','',0.00835164822638,0.0
1613697816968563985,,366,,1613697816,966617107,'','',0.00747252767906,0.0
1613697817218735277,,367,,1613697817,216681957,'','',0.00703296763822,0.0
1613697817472611527,,368,,1613697817,467128992,'','',0.00571428565308,0.0
1613697817720238152,,369,,1613697817,717629909,'','',0.00835164822638,0.0
1613697817971866819,,370,,1613697817,968374013,'','',0.00879120919853,0.0
1613697818218539902,,371,,1613697818,216320037,'','',0.00615384615958,0.0
1613697818468651527,,372,,1613697818,466265916,'','',0.00703296763822,0.0
1613697818720170611,,373,,1613697818,716528892,'','',0.00615384615958,0.0
1613697818970781152,,374,,1613697818,966404914,'','',0.00791208818555,0.0
1613697819219818986,,375,,1613697819,217725992,'','',0.00615384615958,0.0
1613697819473139444,,376,,1613697819,470873117,'','',0.00527472514659,0.0
1613697819719835069,,377,,1613697819,716206073,'','',0.00923076923937,0.0
1613697819969343986,,378,,1613697819,967530012,'','',0.00659340666607,0.0
1613697820221310611,,379,,1613697820,219048976,'','',0.00483516510576,0.0
1613697820468758986,,380,,1613697820,467106103,'','',0.00703296763822,0.0
1613697820721689819,,381,,1613697820,719475984,'','',0.00571428565308,0.0
1613697820969010861,,382,,1613697820,967283964,'','',0.00703296763822,0.0
1613697821218592569,,383,,1613697821,216752052,'','',0.00791208818555,0.0
1613697821469873778,,384,,1613697821,467926025,'','',0.00835164822638,0.0
1613697821719249903,,385,,1613697821,717330932,'','',0.00307692307979,0.0
1613697821975090278,,386,,1613697821,972395896,'','',0.0145054953173,0.0
1613697822219544236,,387,,1613697822,216691017,'','',0.00703296763822,0.0
1613697822468062319,,388,,1613697822,466209888,'','',0.00703296763822,0.0
1613697822720586528,,389,,1613697822,718823909,'','',0.00835164822638,0.0
1613697822968774569,,390,,1613697822,967171907,'','',0.00747252767906,0.0
1613697823219201444,,391,,1613697823,216640949,'','',0.00615384615958,0.0
1613697823470208611,,392,,1613697823,467350959,'','',0.00747252767906,0.0
1613697823729508778,,393,,1613697823,719872951,'','',0.00923076923937,0.0
1613697823969369611,,394,,1613697823,967027902,'','',0.00879120919853,0.0
1613697824218608778,,395,,1613697824,216099023,'','',0.00791208818555,0.0
