timestamp,data,secs,nsecs
1582136609755123558,,232063,160322358
1582136610756238593,,232064,161430727
1582136611756266441,,232065,161434076
1582136612755285722,,232066,160324864
1582136613755141163,,232067,160277592
1582136614756775711,,232068,161607657
1582136615755191526,,232069,160384285
1582136616756095991,,232070,161293582
1582136617755001362,,232071,160242326
1582136618756176352,,232072,161421066
1582136619756279613,,232073,161505870
1582136620756220925,,232074,161427182
1582136621756129280,,232075,161313372
1582136622755092147,,232076,160286864
1582136623755991987,,232077,161182163
1582136624756569055,,232078,161404792
1582136625755263188,,232079,160455696
1582136626756689789,,232080,161555317
1582136627755937516,,232081,161147690
1582136628756278555,,232082,161485146
1582136629755396289,,232083,160371727
1582136630755939650,,232084,161144366
1582136631756915986,,232085,161666353
1582136632756001555,,232086,161191522
1582136633756430756,,232087,161481356
1582136634755544324,,232088,160367978
1582136635756087226,,232089,161298776
1582136636755418782,,232090,160531962
1582136637756107260,,232091,161089239
1582136638755795128,,232092,161001261
1582136639755018731,,232093,160253946
1582136640756269177,,232094,161513224
1582136641755091595,,232095,160270604
1582136642756069348,,232096,161203610
1582136643756657999,,232097,161549941
1582136644756082716,,232098,161255517
1582136645756153104,,232099,161201621
1582136646757392467,,232100,162445317
1582136647755384058,,232101,160582525
1582136648756068787,,232102,161272044
1582136649756130384,,232103,161333767
1582136650755816378,,232104,160765734
1582136651755079229,,232105,160270571
1582136652755903200,,232106,160828474
1582136653755467284,,232107,160228859
1582136654756185928,,232108,161385019
1582136655755307663,,232109,160311682
1582136656755397342,,232110,160372821
1582136657755912789,,232111,160837479
1582136658756138960,,232112,160850246
1582136659757214500,,232113,161278740
1582136660756414147,,232114,161583074
1582136661756223426,,232115,161378812
1582136662755634436,,232116,160564168
1582136663756215630,,232117,161382973
1582136664755058464,,232118,160229307
1582136665756106256,,232119,161238684
1582136666756166479,,232120,161137750
1582136667756618888,,232121,161644864
1582136668755730040,,232122,160926465
1582136669756134702,,232123,161166928
1582136670756150886,,232124,161072077
1582136671756557381,,232125,161433325
1582136672756370536,,232126,161351890
1582136673756160108,,232127,161349158
1582136674755773898,,232128,160972490
1582136675756147062,,232129,161350029
1582136676755342002,,232130,160395268
1582136677756299257,,232131,161244113
1582136678756188324,,232132,161251382
1582136679756190843,,232133,161391184
1582136680755310787,,232134,160485921
1582136681755738198,,232135,160935331
1582136682756362389,,232136,161378824
1582136683756071300,,232137,161252392
1582136684756455672,,232138,161238995
1582136685756699676,,232139,161765442
1582136686755210614,,232140,160407414
1582136687755791891,,232141,160870615
1582136688755054411,,232142,160261127
1582136689755793763,,232143,160833821
1582136690755884443,,232144,161087451
1582136691755038511,,232145,160241352
1582136692755468380,,232146,160430569
1582136693755635848,,232147,160587120
1582136694755594370,,232148,160449231
1582136695756195396,,232149,161147418
1582136696756117128,,232150,161082983
1582136697756140063,,232151,161259117
1582136698755943177,,232152,161143268
1582136699756067606,,232153,161220283
1582136700756293862,,232154,161298465
1582136701756328921,,232155,161521513
1582136702755954587,,232156,160912526
1582136703755258980,,232157,160462113
1582136704756255192,,232158,161451617
1582136705756627649,,232159,161522133
1582136706756761578,,232160,161394868
1582136707756275958,,232161,161447468
1582136708756158026,,232162,160950975
1582136709756265457,,232163,161286475
1582136710755047421,,232164,160250554
1582136711756579020,,232165,161525126
1582136712755781710,,232166,160968886
1582136713756855419,,232167,161795567
1582136714756900769,,232168,161381569
1582136715756200746,,232169,161398879
1582136716756013568,,232170,161190328
1582136717755948384,,232171,161158558
1582136718756147851,,232172,160986629
1582136719755112971,,232173,160325562
1582136720758132402,,232174,161622758
1582136721756182367,,232175,161368751
1582136722755975857,,232176,161216280
1582136723756039041,,232177,161249090
1582136724756321795,,232178,161475805
1582136725756014166,,232179,161200008
1582136726755277270,,232180,160448780
1582136727756763163,,232181,161859136
1582136728756828097,,232182,161916111
1582136729755873422,,232183,161064055
1582136730757068415,,232184,161311812
1582136731756792285,,232185,161590941
1582136732756319832,,232186,161332893
1582136733755416446,,232187,160386884
1582136734755830526,,232188,160884543
1582136735755639808,,232189,160839024
1582136736757159491,,232190,162182635
1582136737756188068,,232191,161046179
1582136738756158173,,232192,160959454
1582136739756843280,,232193,161581523
1582136740758382421,,232194,161094988
1582136741756417054,,232195,161521859
1582136742755897021,,232196,161143027
1582136743756011410,,232197,161252541
1582136744755182603,,232198,160380487
1582136745755636307,,232199,160837565
